City,State,Country,Shape,Image_Share,cleaned_date,cleaned_time,time
White Plains,NY,USA,Circle,No,,23:20:00,23:20
Rutland,MA,USA,Circle,No,,22:00:00,22:00
Lancaster,PA,USA,Circle,No,,21:00:00,21:00
Fairmont,WV,USA,Circle,No,,20:05:00,20:05
Springfield,VA,USA,Circle,No,,21:40:00,21:40
Woonsocket,RI,USA,Circle,No,,19:00:00,19:00
Oak Ridge,TN,USA,Circle,No,,23:37:00,23:37
Wilmington,MA,USA,Circle,No,,21:50:00,21:50
Beaverton,OR,USA,Circle,No,,18:00:00,18:00
Burnaby (Canada),BC,Canada,Circle,No,,19:09:00,19:09
Stonington,CT,USA,Circle,No,,01:00:00,01:00
Jasper (looking west),GA,USA,Circle,No,,20:47:00,20:47
Fairbanks,AK,USA,Circle,No,,14:34:00,14:34
Bensalem,PA,USA,Circle,No,,10:00:00,10:00
Hopedale,MA,USA,Circle,No,,05:30:00,05:30
Los Alamos,NM,USA,Circle,No,,19:36:00,19:36
Bowmanville (Canada),ON,Canada,Circle,No,,21:45:00,21:45
Garfield hts,OH,USA,Circle,No,,19:00:00,19:00
Stoughton,MA,USA,Circle,No,,22:53:00,22:53
Miami,FL,USA,Circle,No,,02:35:00,02:35
Bradenton,FL,USA,Circle,No,,22:30:00,22:30
Wilmington,NC,USA,Circle,No,,21:30:00,21:30
West Portsmouth,OH,USA,Circle,No,,21:00:00,21:00
Eugene,OR,USA,Circle,No,,20:40:00,20:40
Dixon,MO,USA,Circle,No,,20:15:00,20:15
Emerald isl,NC,USA,Circle,No,,12:43:00,12:43
Corte Madera,CA,USA,Circle,No,,22:00:00,22:00
Utica,NY,USA,Circle,No,,11:30:00,11:30
New York,NY,USA,Circle,No,,02:45:00,02:45
Virginia Beach,VA,USA,Circle,No,,21:00:00,21:00
Surf City,NC,USA,Circle,No,,20:26:00,20:26
Pomona,NY,USA,Circle,No,,19:00:00,19:00
Petaluma,CA,USA,Circle,No,,19:30:00,19:30
Pottstown,PA,USA,Circle,No,,18:00:00,18:00
Spencerport,NY,USA,Circle,No,,21:25:00,21:25
Laplata,MD,USA,Circle,No,,20:45:00,20:45
Astoria,OR,USA,Circle,No,,23:00:00,23:00
Aloha,OR,USA,Circle,No,,21:00:00,21:00
Rantoul,IL,USA,Circle,No,,20:30:00,20:30
Lakeland,FL,USA,Circle,No,,16:00:00,16:00
Rutland (near; Griffith Lake),VT,USA,Circle,No,,23:00:00,23:00
Westwood,MA,USA,Circle,No,,21:50:00,21:50
Oak Grove,MO,USA,Circle,No,,21:00:00,21:00
Columbia,MO,USA,Circle,No,,11:24:00,11:24
Gillette,WY,USA,Circle,No,,10:58:00,10:58
San Diego (North County),CA,USA,Circle,No,,22:50:00,22:50
Curtis Bau,MD,USA,Circle,No,,21:45:00,21:45
Kokomo,IN,USA,Circle,No,,18:56:00,18:56
Vero Beach,FL,USA,Circle,No,,00:53:00,00:53
Lake Wales,FL,USA,Circle,No,,23:55:00,23:55
Albany,OR,USA,Circle,No,,21:45:00,21:45
Maricopa,AZ,USA,Circle,No,,20:37:00,20:37
Kemp,TX,USA,Circle,No,,00:00:00,00:00
Opelousas,LA,USA,Circle,No,,22:50:00,22:50
Kansas City,MO,USA,Circle,No,,21:00:00,21:00
Elizabethton,TN,USA,Circle,No,,23:00:00,23:00
White Sands,NM,USA,Circle,No,,20:48:00,20:48
Providence,RI,USA,Circle,No,,05:30:00,05:30
Providence,RI,USA,Circle,No,,05:30:00,05:30
Cornelius,NC,USA,Circle,No,,23:15:00,23:15
Gilbert,AZ,USA,Circle,No,,20:05:00,20:05
Pine island,MN,USA,Circle,No,,16:00:00,16:00
Camden,NJ,USA,Circle,No,,21:00:00,21:00
Wheatland,CA,USA,Circle,No,,21:00:00,21:00
Nashua,NH,USA,Circle,No,,19:00:00,19:00
Harrisburg,PA,USA,Circle,No,,03:25:00,03:25
Springfield,OR,USA,Circle,No,,22:00:00,22:00
Pittsburgh,PA,USA,Circle,No,,20:45:00,20:45
Fayetteville,NC,USA,Circle,No,,09:00:00,09:00
Angola,IN,USA,Circle,No,,23:45:00,23:45
Marlinton,WV,USA,Circle,No,,23:20:00,23:20
Haleiwa,HI,USA,Circle,No,,03:10:00,03:10
Davenport,FL,USA,Circle,No,,22:00:00,22:00
Muskego,WI,USA,Circle,No,,21:00:00,21:00
Galt,CA,USA,Circle,No,,15:30:00,15:30
Mohawk,NY,USA,Circle,No,,09:15:00,09:15
Midlothian,VA,USA,Circle,No,,00:26:00,00:26
Poland,ME,USA,Circle,No,,16:50:00,16:50
Beowawe,NV,USA,Circle,No,,08:45:00,08:45
West Valley,UT,USA,Circle,No,,22:39:00,22:39
Lincoln,CA,USA,Circle,No,,22:20:00,22:20
Ukiah,CA,USA,Circle,No,,22:00:00,22:00
Santa Ana,CA,USA,Circle,No,,21:45:00,21:45
Howell,NJ,USA,Circle,No,,21:00:00,21:00
Grand Canyon,AZ,USA,Circle,No,,20:30:00,20:30
Biddeford,ME,USA,Circle,No,,20:03:00,20:03
Kingman,AZ,USA,Circle,No,,21:45:00,21:45
Sheridan,WY,USA,Circle,No,,21:05:00,21:05
Half Moon Bay,CA,USA,Circle,No,,10:00:00,10:00
Plano,TX,USA,Circle,No,,23:15:00,23:15
Ashburn,GA,USA,Circle,No,,22:30:00,22:30
Topsail,NC,USA,Circle,No,,20:30:00,20:30
Vacaville,CA,USA,Circle,No,,00:00:00,
Palm Desert/La Quinta,CA,USA,Circle,No,,21:30:00,21:30
Canton,OH,USA,Circle,No,,17:45:00,17:45
Bangor,ME,USA,Circle,No,,00:20:00,00:20
Phoenix,AZ,USA,Circle,No,,22:00:00,22:00
Chunchula,AL,USA,Circle,No,,23:30:00,23:30
Westerville,OH,USA,Circle,No,,22:00:00,22:00
Lincoln City,OR,USA,Circle,No,,16:39:00,16:39
Gunnison,CO,USA,Circle,No,,21:00:00,21:00
Toronto (Canada),ON,Canada,Circle,No,,03:57:00,03:57
Fairfield,ME,USA,Circle,No,,21:30:00,21:30
Milan,NH,USA,Circle,No,,21:00:00,21:00
New York City (Bronx),NY,USA,Circle,No,,21:00:00,21:00
Firth,ID,USA,Circle,No,,21:00:00,21:00
Fairfield,ME,USA,Circle,No,,15:30:00,15:30
Severn,MD,USA,Circle,No,,01:00:00,01:00
Sooke (Canada),BC,Canada,Circle,No,,23:30:00,23:30
Virginia Beach,VA,USA,Circle,No,,22:15:00,22:15
Oakland,NJ,USA,Circle,No,,23:30:00,23:30
Ontario (Canada),ON,Canada,Circle,No,,21:30:00,21:30
Petersburg,VA,USA,Circle,No,,16:02:00,16:02
Kihei,HI,USA,Circle,No,,23:00:00,23:00
Pacifica,CA,USA,Circle,No,,20:00:00,20:00
Pacifica,CA,USA,Circle,No,,20:00:00,20:00
Chicago (Lake Shafer),IN,USA,Circle,No,,00:00:00,00:00
Akron,OH,USA,Circle,No,,23:00:00,23:00
Toledo,OH,USA,Circle,No,,22:00:00,22:00
New Bedford,MA,USA,Circle,No,,20:30:00,20:30
Corvallis,MT,USA,Circle,No,,00:24:00,00:24
Myrtle Beach,SC,USA,Circle,No,,00:30:00,00:30
Columbus,GA,USA,Circle,No,,23:18:00,23:18
Carrollton,GA,USA,Circle,No,,23:00:00,23:00
Port Townsend,WA,USA,Circle,No,,15:00:00,15:00
Brigantine,NJ,USA,Circle,No,,00:15:00,00:15
Orland Park,IL,USA,Circle,No,,22:00:00,22:00
Charlotte,NC,USA,Circle,No,,21:40:00,21:40
Hanson,MA,USA,Circle,No,,14:00:00,14:00
Salt Lake City,UT,USA,Circle,No,,13:00:00,13:00
Hollidaysburg,PA,USA,Circle,No,,09:30:00,09:30
Lombard,IL,USA,Circle,No,,21:00:00,21:00
Montana City,MT,USA,Circle,No,,20:00:00,20:00
Dothan,AL,USA,Circle,No,,22:45:00,22:45
Throop,PA,USA,Circle,No,,22:25:00,22:25
Denton,TX,USA,Circle,No,,22:16:00,22:16
Riverside,RI,USA,Circle,No,,22:00:00,22:00
Brookline Station,MO,USA,Circle,No,,22:00:00,22:00
Panama City,FL,USA,Circle,No,,22:45:00,22:45
Bogie Sound (Emerald Isle Bridge),NC,USA,Circle,No,,23:30:00,23:30
San Ramon,CA,USA,Circle,No,,19:45:00,19:45
Endicott,NY,USA,Circle,No,,09:38:00,09:38
Silver Spring,MD,USA,Circle,No,,14:00:00,14:00
Atlanta,GA,USA,Circle,No,,02:45:00,02:45
New York City,NY,USA,Circle,No,,23:40:00,23:40
Monaca,PA,USA,Circle,No,,21:09:00,21:09
Chicago,IL,USA,Circle,No,,20:05:00,20:05
East Northport,NY,USA,Circle,No,,19:45:00,19:45
Farmingdale,NY,USA,Circle,No,,18:40:00,18:40
Gold Beach,OR,USA,Circle,No,,13:00:00,13:00
Gaffney,SC,USA,Circle,No,,00:00:00,00:00
Pawleys Island,SC,USA,Circle,No,,22:30:00,22:30
West Babylon,NY,USA,Circle,No,,21:40:00,21:40
New Orleans,LA,USA,Circle,No,,21:30:00,21:30
Bristol tn and bristol va,TN,USA,Circle,No,,22:40:00,22:40
Cornelia,GA,USA,Circle,No,,11:45:00,11:45
Hebe/Klingerstown,PA,USA,Circle,No,,21:50:00,21:50
Mount Vernon,OH,USA,Circle,No,,20:25:00,20:25
Park Rapids,MN,USA,Circle,No,,23:00:00,23:00
Phoenix,AZ,USA,Circle,No,,22:30:00,22:30
Phoenix,AZ,USA,Circle,No,,02:00:00,02:00
Tampa,FL,USA,Circle,No,,22:00:00,22:00
Blue Island,IL,USA,Circle,No,,21:50:00,21:50
Troy,ME,USA,Circle,No,,02:30:00,02:30
Missoula,MT,USA,Circle,No,,23:00:00,23:00
Mt. Juliet,TN,USA,Circle,No,,21:00:00,21:00
Port Clinton,OH,USA,Circle,No,,03:00:00,03:00
Aurora,CO,USA,Circle,No,,22:25:00,22:25
Johnsonville,NC,USA,Circle,No,,22:00:00,22:00
Woodville,TX,USA,Circle,No,,21:30:00,21:30
Cedarburg,WI,USA,Circle,No,,17:50:00,17:50
Miami (South Dade),FL,USA,Circle,No,,09:35:00,09:35
Sun City,AZ,USA,Circle,No,,09:00:00,09:00
St. Petersburg,FL,USA,Circle,No,,23:10:00,23:10
Albuquerque,NM,USA,Circle,No,,21:10:00,21:10
Brighton,CO,USA,Circle,No,,09:00:00,09:00
Emerald Isle,NC,USA,Circle,No,,21:00:00,21:00
Mishawaka,IN,USA,Circle,No,,23:00:00,23:00
Rapid City,SD,USA,Circle,No,,20:00:00,20:00
Eads,TN,USA,Circle,No,,19:00:00,19:00
Kenosha,WI,USA,Circle,No,,22:16:00,22:16
Dorothy,NJ,USA,Circle,No,,20:58:00,20:58
Murfreesboro,TN,USA,Circle,No,,20:50:00,20:50
New York,NY,USA,Circle,No,,12:50:00,12:50
New Berlin,WI,USA,Circle,No,,23:30:00,23:30
New York City,NY,USA,Circle,No,,22:30:00,22:30
Pittsburgh,PA,USA,Circle,No,,13:00:00,13:00
Coeur d'Alene,ID,USA,Circle,No,,23:00:00,23:00
Knoxville,TN,USA,Circle,No,,21:50:00,21:50
Skokie,IL,USA,Circle,No,,10:30:00,10:30
Galloway,NE,USA,Circle,No,,00:13:00,00:13
Schaumburg,IL,USA,Circle,No,,22:45:00,22:45
Lafayette,NJ,USA,Circle,No,,22:35:00,22:35
Charlotte,NC,USA,Circle,No,,18:45:00,18:45
Ashburn,VA,USA,Circle,No,,03:00:00,03:00
Puyallup,WA,USA,Circle,No,,21:50:00,21:50
Duck Key,FL,USA,Circle,No,,21:20:00,21:20
Holland,MI,USA,Circle,No,,00:34:00,00:34
Socorro,NM,USA,Circle,No,,21:00:00,21:00
Oak Island,NC,USA,Circle,No,,20:34:00,20:34
Camp Verde,AZ,USA,Circle,No,,00:00:00,
Mayville,MI,USA,Circle,No,,23:00:00,23:00
Cherry Grove (MCAS),SC,USA,Circle,No,,22:00:00,22:00
Oak Island,NC,USA,Circle,No,,20:46:00,20:46
Jarrell,TX,USA,Circle,No,,23:00:00,23:00
Barstow,CA,USA,Circle,No,,21:40:00,21:40
Oak Island,NC,USA,Circle,No,,20:30:00,20:30
Barstow (I-15 Fwy),CA,USA,Circle,No,,21:40:00,21:40
Somerset,KY,USA,Circle,No,,15:00:00,15:00
Passaic,NJ,USA,Circle,No,,10:00:00,10:00
Clearwater,FL,USA,Circle,No,,21:30:00,21:30
Maywood,CA,USA,Circle,No,,12:00:00,12:00
Mount Vernon,MO,USA,Circle,No,,02:28:00,02:28
Green Valley,AZ,USA,Circle,No,,23:30:00,23:30
Johns Creek/Atlanta,GA,USA,Circle,No,,22:30:00,22:30
San Antonio,TX,USA,Circle,No,,21:10:00,21:10
Light,AR,USA,Circle,No,,23:40:00,23:40
Hermantown,MN,USA,Circle,No,,03:00:00,03:00
Royal Palm Beach,FL,USA,Circle,No,,20:30:00,20:30
Orlando,FL,USA,Circle,No,,21:39:00,21:39
Plainfield,IL,USA,Circle,No,,20:00:00,20:00
Blackwood,NJ,USA,Circle,No,,22:30:00,22:30
Deerlodge,MT,USA,Circle,No,,01:30:00,01:30
Rochelle,IL,USA,Circle,No,,21:30:00,21:30
Dederick,MO,USA,Circle,No,,21:00:00,21:00
Sacramento,CA,USA,Circle,No,,18:24:00,18:24
Ossian,IA,USA,Circle,No,,22:15:00,22:15
Lansing,MI,USA,Circle,No,,21:07:00,21:07
Dartmouth,MA,USA,Circle,No,,16:45:00,16:45
Warren,MI,USA,Circle,No,,22:52:00,22:52
Wenatchee,WA,USA,Circle,No,,20:30:00,20:30
Maywood,CA,USA,Circle,No,,00:30:00,00:30
Irondequoit,NY,USA,Circle,No,,23:01:00,23:01
Myrtle Beach,SC,USA,Circle,No,,22:15:00,22:15
Stafford,VA,USA,Circle,No,,19:49:00,19:49
Naples,FL,USA,Circle,No,,20:30:00,20:30
Sarasota,FL,USA,Circle,No,,20:15:00,20:15
York,PA,USA,Circle,No,,15:30:00,15:30
Bridgton,ME,USA,Circle,No,,23:00:00,23:00
Acworth,GA,USA,Circle,No,,22:00:00,22:00
Westminster,MD,USA,Circle,No,,23:55:00,23:55
Denver,CO,USA,Circle,No,,21:26:00,21:26
West Grove,PA,USA,Circle,No,,20:45:00,20:45
Spokane Valley,WA,USA,Circle,No,,23:05:00,23:05
Sutherlin,OR,USA,Circle,No,,21:45:00,21:45
Felton,DE,USA,Circle,No,,20:30:00,20:30
Goshen,IN,USA,Circle,No,,20:34:00,20:34
Lookout Mountain,GA,USA,Circle,No,,00:00:00,00:00
Raleigh,NC,USA,Circle,No,,22:30:00,22:30
Parry Sound (near) (Canada),ON,Canada,Circle,No,,00:30:00,00:30
Sarasota,FL,USA,Circle,No,,19:00:00,19:00
Mojave,CA,USA,Circle,No,,18:09:00,18:09
Phoenix,AZ,USA,Circle,No,,01:00:00,01:00
Tannersville,PA,USA,Circle,No,,22:30:00,22:30
Tannersville,PA,USA,Circle,No,,22:30:00,22:30
Colorado Springs,CO,USA,Circle,No,,19:00:00,19:00
Bowser (Canada),BC,Canada,Circle,No,,23:00:00,23:00
Clements,AL,USA,Circle,No,,04:15:00,04:15
Jacksonville,FL,USA,Circle,No,,00:00:00,00:00
Meridian,ID,USA,Circle,No,,20:00:00,20:00
Binghamton,NY,USA,Circle,No,,22:00:00,22:00
Odessa,FL,USA,Circle,No,,13:00:00,13:00
Harrison,NY,USA,Circle,No,,19:00:00,19:00
Arvada,CO,USA,Circle,No,,06:50:00,06:50
Oak Island,NC,USA,Circle,No,,20:30:00,20:30
Lakeland,FL,USA,Circle,No,,19:40:00,19:40
Belleville,NJ,USA,Circle,No,,19:00:00,19:00
Esko,MN,USA,Circle,No,,23:00:00,23:00
Evansville,IN,USA,Circle,No,,20:43:00,20:43
Anchorage,AK,USA,Circle,No,,20:45:00,20:45
Carling area (Canada),ON,Canada,Circle,No,,20:30:00,20:30
Martinsville,VA,USA,Circle,No,,19:00:00,19:00
Ford,WA,USA,Circle,No,,21:59:00,21:59
Indio,CA,USA,Circle,No,,20:50:00,20:50
Phoenix,AZ,USA,Circle,No,,14:30:00,14:30
Newburg,IN,USA,Circle,No,,01:00:00,01:00
West Suffield,CT,USA,Circle,No,,20:46:00,20:46
West Suffield,CT,USA,Circle,No,,20:45:00,20:45
Big Lake,AK,USA,Circle,No,,20:30:00,20:30
Ten mile,TN,USA,Circle,No,,20:00:00,20:00
Burbank,CA,USA,Circle,No,,21:27:00,21:27
Antioch,TN,USA,Circle,No,,20:00:00,20:00
New Orleans,LA,USA,Circle,No,,14:24:00,14:24
Littleton,CO,USA,Circle,No,,23:35:00,23:35
Tempe/Phoenix,AZ,USA,Circle,No,,21:30:00,21:30
Portland,OR,USA,Circle,No,,19:00:00,19:00
Keaau,HI,USA,Circle,No,,19:30:00,19:30
Florence,CO,USA,Circle,No,,17:33:00,17:33
Rohnert Park,CA,USA,Circle,No,,22:10:00,22:10
Reno,NV,USA,Circle,No,,04:30:00,04:30
Long Beach,CA,USA,Circle,No,,21:20:00,21:20
Clayton,CA,USA,Circle,No,,22:00:00,22:00
Barre Town,VT,USA,Circle,No,,20:00:00,20:00
Washington,VT,USA,Circle,No,,19:00:00,19:00
Montpelier,VT,USA,Circle,No,,19:00:00,19:00
Clio,MI,USA,Circle,No,,10:30:00,10:30
Hillsboro,ND,USA,Circle,No,,16:00:00,16:00
Sacramento,CA,USA,Circle,No,,19:30:00,19:30
Denvile,NJ,USA,Circle,No,,18:30:00,18:30
Deerfield Beach,FL,USA,Circle,No,,17:54:00,17:54
Warren,IL,USA,Circle,No,,23:00:00,23:00
Austin,TX,USA,Circle,No,,20:30:00,20:30
Santa Clarita,CA,USA,Circle,No,,06:30:00,06:30
North Hollywood,CA,USA,Circle,No,,03:15:00,03:15
Fairbanks,AK,USA,Circle,No,,23:55:00,23:55
Peterborough (Canada),ON,Canada,Circle,No,,23:45:00,23:45
Albuquerque,NM,USA,Circle,No,,20:50:00,20:50
Bay City,TX,USA,Circle,No,,20:15:00,20:15
San Ysidro,CA,USA,Circle,No,,17:30:00,17:30
Simpsonville,SC,USA,Circle,No,,11:45:00,11:45
Post Falls,ID,USA,Circle,No,,00:02:00,00:02
Bangor,PA,USA,Circle,No,,00:00:00,00:00
Santa Maria,CA,USA,Circle,No,,18:38:00,18:38
Reno,NV,USA,Circle,No,,22:20:00,22:20
Hinesville,GA,USA,Circle,No,,18:20:00,18:20
Redmond,WA,USA,Circle,No,,18:00:00,18:00
Elmhurst,NY,USA,Circle,No,,00:30:00,00:30
Beaverton,OR,USA,Circle,No,,16:35:00,16:35
Bend,OR,USA,Circle,No,,21:32:00,21:32
Easton,PA,USA,Circle,No,,20:07:00,20:07
Oklahoma City,OK,USA,Circle,No,,22:07:00,22:07
Modesto,CA,USA,Circle,No,,04:00:00,04:00
Santa Fe,NM,USA,Circle,No,,21:00:00,21:00
Kissimmee,FL,USA,Circle,No,,20:45:00,20:45
Aurora,CO,USA,Circle,No,,19:35:00,19:35
Fairfield,CA,USA,Circle,No,,18:15:00,18:15
St. Paul,MN,USA,Circle,No,,15:22:00,15:22
Sanford,FL,USA,Circle,No,,16:00:00,16:00
Baton Rouge,LA,USA,Circle,No,,19:50:00,19:50
Fairfax,VA,USA,Circle,No,,23:00:00,23:00
Pineville,LA,USA,Circle,No,,00:00:00,
Lynnville,TN,USA,Circle,No,,20:00:00,20:00
Lake Buena Vista,FL,USA,Circle,No,,01:22:00,01:22
Orlando,FL,USA,Circle,No,,22:50:00,22:50
Continental Divide,NM,USA,Circle,No,,11:00:00,11:00
Medford,OR,USA,Circle,No,,05:00:00,05:00
Newark,DE,USA,Circle,No,,02:00:00,02:00
Chicago,IL,USA,Circle,No,,19:30:00,19:30
Milford,DE,USA,Circle,No,,19:00:00,19:00
Capitol Heights,MD,USA,Circle,No,,01:00:00,01:00
Gilbert,AZ,USA,Circle,No,,07:50:00,07:50
Belgrade,MT,USA,Circle,No,,19:35:00,19:35
Orange,CA,USA,Circle,No,,06:15:00,06:15
Winchester,KY,USA,Circle,No,,01:30:00,01:30
Lucasville,OH,USA,Circle,No,,21:45:00,21:45
Pittsburgh,PA,USA,Circle,No,,21:20:00,21:20
Centennial,CO,USA,Circle,No,,18:22:00,18:22
Dayton,OH,USA,Circle,No,,18:02:00,18:02
Davenport,FL,USA,Circle,No,,11:30:00,11:30
Scottsdale,AZ,USA,Circle,No,,03:00:00,03:00
Nampa,ID,USA,Circle,No,,19:30:00,19:30
Tiverton,RI,USA,Circle,No,,16:20:00,16:20
burlington,KY,USA,Circle,No,,12:11:00,12:11
Branford,CT,USA,Circle,No,,03:10:00,03:10
Indianapolis/Fishers,IN,USA,Circle,No,,01:00:00,01:00
Glacier,WA,USA,Circle,No,,18:15:00,18:15
Windgap,PA,USA,Circle,No,,17:00:00,17:00
Rochester,NH,USA,Circle,No,,17:00:00,17:00
Charlotte,NC,USA,Circle,No,,20:00:00,20:00
Nashville,TN,USA,Circle,No,,17:18:00,17:18
Nashville,TN,USA,Circle,No,,17:18:00,17:18
Miami,FL,USA,Circle,No,,20:00:00,20:00
Massapequa,NY,USA,Circle,No,,20:00:00,20:00
Spokane,WA,USA,Circle,No,,16:00:00,16:00
Mechanicsburg,PA,USA,Circle,No,,02:30:00,02:30
Canton,NY,USA,Circle,No,,23:50:00,23:50
Allen,TX,USA,Circle,No,,12:30:00,12:30
Glenmoore,PA,USA,Circle,No,,23:35:00,23:35
Baldwinsville,NY,USA,Circle,No,,22:30:00,22:30
Wasilla,AK,USA,Circle,No,,21:00:00,21:00
Bakersfield,CA,USA,Circle,No,,17:30:00,17:30
Dearborn,MI,USA,Circle,No,,13:00:00,13:00
Easley,SC,USA,Circle,No,,04:30:00,04:30
Massapequa,NY,USA,Circle,No,,23:00:00,23:00
Florence,KY,USA,Circle,No,,19:00:00,19:00
Covina,CA,USA,Circle,No,,18:00:00,18:00
Lake In The Hills,IL,USA,Circle,No,,07:45:00,07:45
Clemmons,NC,USA,Circle,No,,05:50:00,05:50
Boston,MA,USA,Circle,No,,18:30:00,18:30
Albany,NY,USA,Circle,No,,16:30:00,16:30
Spokane,WA,USA,Circle,No,,04:00:00,04:00
Mount Airy,NC,USA,Circle,No,,23:45:00,23:45
Grayson,GA,USA,Circle,No,,20:30:00,20:30
Between,GA,USA,Circle,No,,20:57:00,20:57
Abingdon,VA,USA,Circle,No,,07:00:00,07:00
Yakima,WA,USA,Circle,No,,19:05:00,19:05
Parma Heights,OH,USA,Circle,No,,07:13:00,07:13
Salisbury,NC,USA,Circle,No,,19:00:00,19:00
Silver Spring,MD,USA,Circle,No,,19:30:00,19:30
Hilliard,OH,USA,Circle,No,,17:00:00,17:00
Ogdensburg,NY,USA,Circle,No,,06:30:00,06:30
Zeeland,MI,USA,Circle,No,,04:47:00,04:47
Woodruff,SC,USA,Circle,No,,21:45:00,21:45
South Attleboro,MA,USA,Circle,No,,19:54:00,19:54
Dayton,MD,USA,Circle,No,,19:10:00,19:10
Mismisburg,OH,USA,Circle,No,,10:30:00,10:30
Pickerington,OH,USA,Circle,No,,07:02:00,07:02
Paterson,NJ,USA,Circle,No,,03:30:00,03:30
Harrisonburg,VA,USA,Circle,No,,22:30:00,22:30
Franklin,OH,USA,Circle,No,,20:30:00,20:30
Twin Falls,ID,USA,Circle,No,,19:00:00,19:00
Fielding,UT,USA,Circle,No,,21:00:00,21:00
Williamsport,PA,USA,Circle,No,,10:33:00,10:33
Sunnyvale,CA,USA,Circle,No,,05:50:00,05:50
Modesto,CA,USA,Circle,No,,03:00:00,03:00
St. Albans,WV,USA,Circle,No,,23:20:00,23:20
Las Vegas,NV,USA,Circle,No,,22:15:00,22:15
Indianapolis,IN,USA,Circle,No,,21:35:00,21:35
Mundelein,IL,USA,Circle,No,,00:00:00,
Venice beach,CA,USA,Circle,No,,19:00:00,19:00
Chicago,IL,USA,Circle,No,,23:30:00,23:30
Pierre Part,LA,USA,Circle,No,,18:00:00,18:00
Silver Bay,MN,USA,Circle,No,,21:00:00,21:00
Germantown,MD,USA,Circle,No,,20:25:00,20:25
Vancouver,WA,USA,Circle,No,,19:45:00,19:45
Indianapolis,IN,USA,Circle,No,,19:00:00,19:00
Denver,CO,USA,Circle,No,,08:00:00,08:00
Sumter,SC,USA,Circle,No,,05:57:00,05:57
Willard,NM,USA,Circle,No,,05:23:00,05:23
Cape Coral,FL,USA,Circle,No,,05:20:00,05:20
San Antonio,TX,USA,Circle,No,,20:55:00,20:55
Okeechobee,FL,USA,Circle,No,,20:38:00,20:38
Kentwood,MI,USA,Circle,No,,20:02:00,20:02
San Antonio,TX,USA,Circle,No,,19:00:00,19:00
Albany,OR,USA,Circle,No,,04:45:00,04:45
Lombard,IL,USA,Circle,No,,20:30:00,20:30
Kalamazoo,MI,USA,Circle,No,,07:00:00,07:00
East Setauket,NY,USA,Circle,No,,21:47:00,21:47
Ft. Lauderdale,FL,USA,Circle,No,,20:20:00,20:20
Fontana,CA,USA,Circle,No,,00:00:00,00:00
Bailey,CO,USA,Circle,No,,22:30:00,22:30
Warren,MI,USA,Circle,No,,22:30:00,22:30
Warren,MI,USA,Circle,No,,22:30:00,22:30
Bremerton,WA,USA,Circle,No,,22:18:00,22:18
Huntington,NY,USA,Circle,No,,22:00:00,22:00
Rexford,NY,USA,Circle,No,,21:30:00,21:30
Collinsville,CT,USA,Circle,No,,21:00:00,21:00
Mountain Home,ID,USA,Circle,No,,20:40:00,20:40
Sun City West,AZ,USA,Circle,No,,20:30:00,20:30
Webster,NY,USA,Circle,No,,20:00:00,20:00
Las Vegas,NV,USA,Circle,No,,19:30:00,19:30
Fontana,CA,USA,Circle,No,,19:00:00,19:00
Prineville,OR,USA,Circle,No,,06:00:00,06:00
Dimmit,TX,USA,Circle,No,,20:00:00,20:00
Perkinston,MS,USA,Circle,No,,04:00:00,04:00
Troutdale,OR,USA,Circle,No,,22:00:00,22:00
Albany,OR,USA,Circle,No,,21:00:00,21:00
Salem,OR,USA,Circle,No,,21:00:00,21:00
Mountain Home,ID,USA,Circle,No,,20:45:00,20:45
Santa Fe,NM,USA,Circle,No,,20:30:00,20:30
Hatch,NM,USA,Circle,No,,18:45:00,18:45
Middletown,DE,USA,Circle,No,,08:00:00,08:00
Mansfield,TX,USA,Circle,No,,22:30:00,22:30
Fairfield,CA,USA,Circle,No,,20:45:00,20:45
Selbyville,DE,USA,Circle,No,,18:00:00,18:00
Layton,UT,USA,Circle,No,,05:30:00,05:30
Worth,IL,USA,Circle,No,,20:16:00,20:16
Scottsdale,AZ,USA,Circle,No,,04:30:00,04:30
Pittsburg,KS,USA,Circle,No,,20:20:00,20:20
Nesbit,MS,USA,Circle,No,,22:30:00,22:30
Garden City,MI,USA,Circle,No,,22:30:00,22:30
Eugene,OR,USA,Circle,No,,20:50:00,20:50
Block Island,RI,USA,Circle,No,,18:15:00,18:15
El Mirage,AZ,USA,Circle,No,,04:00:00,04:00
Greensboro,NC,USA,Circle,No,,22:00:00,22:00
New York City (Brooklyn),NY,USA,Circle,No,,01:00:00,01:00
Gainesville,GA,USA,Circle,No,,21:00:00,21:00
Los Angeles,CA,USA,Circle,No,,19:40:00,19:40
Sacramento,CA,USA,Circle,No,,14:45:00,14:45
Newark,DE,USA,Circle,No,,21:00:00,21:00
Helena,MT,USA,Circle,No,,22:00:00,22:00
Elk City Lake,KS,USA,Circle,No,,21:30:00,21:30
North Providence,RI,USA,Circle,No,,23:45:00,23:45
Drummond Island michigan,MI,USA,Circle,No,,22:30:00,22:30
Paradise Valley,AZ,USA,Circle,No,,19:31:00,19:31
Meridian,MS,USA,Circle,No,,22:00:00,22:00
House Springs,MO,USA,Circle,No,,04:30:00,04:30
Fraser,MI,USA,Circle,No,,22:30:00,22:30
Center Valley,PA,USA,Circle,No,,20:50:00,20:50
